folio;depto;area;nro;s12a_01a;s12a_01b;s12a_01c;s12a_01d;s12a_01e;s12a_01f;s12a_01g;s12a_01h;s12a_01i;s12a_01j;s12a_01k;s12a_01l;s12a_01le;s12a_02;s12a_03_1;s12a_03_2;s12a_03_3;s12a_03_4;s12a_03_5;s12a_03_6;s12a_03_6e;s12a_04;s12a_04e;s12a_05_1;s12a_05_2;s12a_05_3;s12a_05_4;s12a_05_5;s12a_05_6;s12a_05_7;s12a_05_7e;upm;estrato;Ponderador
111-00416110273-A-0021;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;1,20774554386149
111-00416110273-A-0031;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;,603872771930743
111-00416110273-A-0051;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;,603872771930743
111-00416110273-A-0071;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;,905809157896115
111-00416110273-A-0091;Chuquisaca;Urbana;5;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;1,50968192982686
111-00416110273-A-0111;Chuquisaca;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;1,50968192982686
111-00416110273-A-0131;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;1,20774554386149
111-00416110273-A-0151;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;,603872771930743
111-00416110273-A-0171;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;,603872771930743
111-00416110273-A-0191;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;,603872771930743
111-00416110273-A-0211;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;,301936385965372
111-00416110273-A-0231;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00416110273-A;11;,603872771930743
111-00419608229-A-0031;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,198373664209133
111-00419608229-A-0061;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,198373664209133
111-00419608229-A-0091;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,396747328418266
111-00419608229-A-0121;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,198373664209133
111-00419608229-A-0141;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,595120992627399
111-00419608229-A-0171;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,595120992627399
111-00419608229-A-0201;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,198373664209133
111-00419608229-A-0231;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,396747328418266
111-00419608229-A-0261;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,198373664209133
111-00419608229-A-0291;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,396747328418266
111-00419608229-A-0311;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,198373664209133
111-00419608229-A-0341;Chuquisaca;Urbana;5;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;,991868321045665
111-04178102688-A-0011;Chuquisaca;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;1,63158171298058
111-04178102688-A-0041;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;,652632685192232
111-04178102688-A-0061;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;1,95789805557669
111-04178102688-A-0091;Chuquisaca;Urbana;5;2. No;1. Si;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;2. No;1. Si;2. No;2. No; ;111-04178102688-A;11;,978949027788347
111-04178102688-A-0111;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;,652632685192232
111-04178102688-A-0131;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;1,30526537038446
111-04178102688-A-0161;Chuquisaca;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;1,30526537038446
111-04178102688-A-0181;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;,326316342596116
111-04178102688-A-0211;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;,652632685192232
111-04178102688-A-0231;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;,652632685192232
111-04178102688-A-0251;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;,652632685192232
111-04178102688-A-0281;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;1,30526537038446
111-04182242505-A-0251;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04182242505-A;11;,175433394217034
111-04182242505-A-0291;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04182242505-A;11;,175433394217034
111-04182242505-A-0331;Chuquisaca;Urbana;6;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04182242505-A;11;1,0526003653022
111-04182242505-A-0371;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04182242505-A;11;,526300182651102
111-04182242505-A-0411;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04182242505-A;11;,526300182651102
111-04182242505-A-0451;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04182242505-A;11;,526300182651102
111-04188770035-A-0011;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;,228421439817281
111-04188770035-A-0041;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;,456842879634562
111-04188770035-A-0061;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;,685264319451843
111-04188770035-A-0091;Chuquisaca;Urbana;2;2. No;2. No;1. Si;2. No;2. No;2. No;1. Si;2. No;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;1. Si;2. No;1. Si;2. No; ;111-04188770035-A;11;,456842879634562
111-04188770035-A-0111;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;,685264319451843
111-04188770035-A-0131;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;,685264319451843
111-04188770035-A-0161;Chuquisaca;Urbana;5;2. No;2. No;1. Si;2. No;2. No;1. Si;1. Si;2. No;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;1. Si;2. No;1. Si;2. No;1. Si;2. No;2. No; ;111-04188770035-A;11;,456842879634562
111-04188770035-A-0181;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;,913685759269125
111-04188770035-A-0211;Chuquisaca;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;1,14210719908641
111-04188770035-A-0231;Chuquisaca;Urbana;5;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;,685264319451843
111-04188770035-A-0251;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;3. Prefiere no decirlo;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;2. No;1. Si;2. No;2. No; ;111-04188770035-A;11;,685264319451843
111-04188770035-A-0281;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04188770035-A;11;,456842879634562
111-04195800632-A-0041;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,428837185863861
111-04195800632-A-0081;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,428837185863861
111-04195800632-A-0131;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;1. Si;1. Si;2. No;2. No;2. No;2. No;1. Si;2. No; ;2. No; ; ; ; ; ; ; ; ; ;1. Si;2. No;2. No;2. No;2. No;1. Si;2. No; ;111-04195800632-A;11;,428837185863861
111-04195800632-A-0171;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,857674371727722
111-04195800632-A-0211;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,857674371727722
111-04195800632-A-0251;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,857674371727722
111-04195800632-A-0331;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,428837185863861
111-04195800632-A-0371;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,643255778795792
111-04195800632-A-0411;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,428837185863861
111-04195800632-A-0451;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,643255778795792
111-04195800632-A-0491;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04195800632-A;11;,214418592931931
112-00415940829-A-0011;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,296772967946088
112-00415940829-A-0031;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,296772967946088
112-00415940829-A-0051;Chuquisaca;Urbana;5;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;1,48386483973044
112-00415940829-A-0071;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,593545935892177
112-00415940829-A-0091;Chuquisaca;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;1,18709187178435
112-00415940829-A-0111;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,296772967946088
112-00415940829-A-0131;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,593545935892177
112-00415940829-A-0151;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,890318903838266
112-00415940829-A-0171;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,593545935892177
112-00415940829-A-0191;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,593545935892177
112-00415940829-A-0211;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,593545935892177
112-00415940829-A-0231;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00415940829-A;12;,296772967946088
112-00418470367-A-0131;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418470367-A;12;,689765296593448
112-00418470367-A-0151;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418470367-A;12;1,3795305931869
112-00418470367-A-0181;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418470367-A;12;,229921765531149
112-00418470367-A-0211;Chuquisaca;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418470367-A;12;1,14960882765575
112-00418470367-A-0241;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418470367-A;12;,229921765531149
112-00418470367-A-0271;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418470367-A;12;,689765296593448
112-00418470367-A-0301;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418470367-A;12;,229921765531149
112-00418470367-A-0331;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418470367-A;12;,229921765531149
112-00418486964-A-0011;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418486964-A;12;,689765296593448
112-00418486964-A-0041;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418486964-A;12;,459843531062299
112-00418486964-A-0071;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418486964-A;12;,229921765531149
112-00418486964-A-0101;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418486964-A;12;,689765296593448
112-00418939242-A-0021;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;1. Si;POR CICATRIZ EN EL ROSTRO;2. No; ; ; ; ; ; ; ; ; ;1. Si;2. No;1. Si;2. No;2. No;2. No;2. No; ;112-00418939242-A;12;,135137690761165
112-00418939242-A-0031;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,270275381522331
112-00418939242-A-0051;Chuquisaca;Urbana;3;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,405413072283496
112-00418939242-A-0061;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,270275381522331
112-00418939242-A-0081;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,270275381522331
112-00418939242-A-0091;Chuquisaca;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,540550763044661
112-00418939242-A-0111;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,270275381522331
112-00418939242-A-0121;Chuquisaca;Urbana;2;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,405413072283496
112-00418939242-A-0141;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,135137690761165
112-00418939242-A-0151;Chuquisaca;Urbana;1;4. No sabe;4. No sabe;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,270275381522331
112-00418939242-A-0171;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;4. No sabe; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00418939242-A;12;,135137690761165
112-00418939242-A-0181;Chuquisaca;Urbana;1;2. No;2. No;2. No;2. No;1. Si;2. No;2. No;2. No;2. No;1. Si;2. No;4. No sabe; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;1. Si;2. No;2. No;2. No; ;112-00418939242-A;12;,270275381522331
112-00419387510-A-0011;Chuquisaca;Urbana;4;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;112-00419387510-A;12;,865587823176092
112-00419387510-A-0031;Chuquisaca;Urbana;1;2. No;2. No;1. Si;2. No;1. Si;2. No;2. No;1. Si;2. No;2. No;2. No;2. No; ;2. No; ; ; ; ; ; ; ; ; ;2. No;2. No;2. No;2. No;1. Si;2. No;2. No; ;112-00419387510-A;12;,346235129270437
